Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (current LCU),NY.GDP.MKTP.CN,Australia,AUS,404695000000,662674000000,707402000000,756446000000,803108000000,864089000000,925442000000,999585000000,1089023000000,1179629000000,1261441000000,1304381000000,1418651000000,1500852000000,1537445000000,1599695000000,1624733000000,1658936000000,1759378000000,1844528000000,1950042000000,1984598000000,2088901000000,2333221000000
GDP (current LCU),NY.GDP.MKTP.CN,Afghanistan,AFG,..,..,..,182162721300,221358563000,249791940700,308163225800,348048404600,485419056200,515046858600,611692107000,726231122700,850347275400,1028794220100,1138809791300,1176469485800,1222756495400,1222916881100,1285460326500,1327690394700,1469596303300,1534966000000,1251172000000,..
GDP (current LCU),NY.GDP.MKTP.CN,Albania,ALB,16228430000,501199000000,563449000000,610494000000,677738000000,737656000000,804163000000,872735000000,965528000000,1080676000000,1143936000000,1239645000000,1300624000000,1332811000000,1350053000000,1395305000000,1434307000000,1472479000000,1550645485900,1636729604100,1691903429800,1647431071400,1856172101100,2138339000000
GDP (current LCU),NY.GDP.MKTP.CN,Algeria,DZA,555800002600,4123514000000,4227113000000,4522773000000,5252321000000,6149117000000,7561984000000,8501636000000,9352886000000,11043704000000,9968025000000,11991564000000,14588532000000,16209598000000,16647919000000,17228598000000,16712686000000,17514635000000,18876176000000,20393500000000,20500200000000,18476900000000,22079300000000,27688800000000
GDP (current LCU),NY.GDP.MKTP.CN,American Samoa,ASM,..,..,..,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000
GDP (current LCU),NY.GDP.MKTP.CN,Andorra,AND,630395100,1551090000,1728690000,1865830000,2092490000,2331570000,2540880000,2755130000,2887770000,2789260000,2644840000,2602310000,2607220000,2481850000,2404540000,2462690000,2514510000,2616860000,2655760000,2725270000,2818420000,2531090000,2811000000,3187500000
GDP (current LCU),NY.GDP.MKTP.CN,Angola,AGO,335.9646477,91666100000,197110800000,665385000000,1328940000000,1967571000000,3222352000000,4209762000000,5006335000000,6643353000000,5577341000000,7701651000000,10500942000000,12224950000000,13195004000000,14323859000000,13950291000000,16549565000000,20262296000000,25627742000000,30330429000000,31700771000000,44535941000000,53375145477600
GDP (current LCU),NY.GDP.MKTP.CN,Antigua and Barbuda,ATG,1240570000,2231200000,2161300000,2198830000,2312270000,2483270000,2762000000,3125690000,3544450000,3699190000,3316490000,3101490000,3459610000,3583190000,3578650000,3722840000,3881940000,4022170000,4134110000,4486130000,4658450000,3809150000,4323690000,5042880000
GDP (current LCU),NY.GDP.MKTP.CN,Argentina,ARG,68921999360,284203750000,268696750000,312580000000,375909500000,485115194700,582538172900,715904271700,896980174100,1149646090600,1247929268900,1661720925900,2179024103600,2637913848200,3348308488200,4579086425400,5954510895700,8228159556500,10660228494800,14744810677300,21558444149200,27209814143300,46346227353600,82436433708700
GDP (current LCU),NY.GDP.MKTP.CN,Armenia,ARM,50310000,1031338300000,1175876800000,1362471700000,1624642700000,1907945400000,2242880900000,2656189800000,3149283400000,3568227600000,3141651000000,3460202700000,3777945600000,4266460500000,4555638200000,4828626300000,5043633200000,5067293500000,5564493300000,6017035200000,6543321800000,6181902600000,6991777800000,8501435500000
GDP (current LCU),NY.GDP.MKTP.CN,Aruba,ABW,1369000000,3353480000,3394658000,3511700000,3658960000,4036147000,4224431000,4420911000,4792978000,5089014000,4571290000,4391939000,4721768000,4681223000,4882851000,4995621000,5303604000,5340707000,5535448000,5864370000,6078480000,4580442283.94695,5554699541.70924,6345026940.62139
GDP (current LCU),NY.GDP.MKTP.CN,Austria,AUT,137548696000,213606480000,220525080000,226735220000,231862460000,242348260000,254075030000,267824450000,283977970000,293761910000,288044020000,295896640000,310128660000,318653040000,323910200000,333146070000,344269230000,357607950000,369361870000,385274090000,397147190000,380888460000,405241420000,447217640000
GDP (current LCU),NY.GDP.MKTP.CN,Azerbaijan,AZE,293200,4718100000,5315600000,6062500000,7146500000,8530200000,12522500000,18746200000,28360500000,40137200000,35601500000,42465000000,52082000000,54743700000,58182000000,59014100000,54380000000,60425200000,70337800000,80092000000,81896200000,72578100000,93203200000,133825800000
